song_id,offset_difference,size
5f7d91449fcf6858e3cae199,1080,1
5f7d91449fcf6858e3cae1b5,485,1
5f7d934a37d3e67dcca32380,6649,1
5f7d934a37d3e67dcca3249c,7188,1
5f7d934c37d3e67dcca3269d,-102,1
5f7d934c37d3e67dcca3269d,-82,2
5f7d934c37d3e67dcca3269d,-61,1
5f7d934c37d3e67dcca3269d,-21,1
5f7d934c37d3e67dcca3269d,-8,1
5f7d934c37d3e67dcca3269d,26,1
5f7d934c37d3e67dcca3269d,46,1
5f7d934c37d3e67dcca3269d,66,1
5f7d934c37d3e67dcca3269d,174,2
5f7d934c37d3e67dcca3269d,269,1
5f7d934c37d3e67dcca3269d,323,1
5f7d934c37d3e67dcca3269d,3289,1
5f7d934c37d3e67dcca3269d,5285,1
5f7d934c37d3e67dcca3269d,5447,1
5f7d934c37d3e67dcca3269d,6742,1
