,hash,offset
0,4dba4ce1afc1deb36f7ceec8ce940a,152
1,fd10c3a986a3f0c696412f7619cca1,152
2,ee5a47f3025f498c92243628e7304e,152
3,b5f661759cda528e2afe81d1f97f51,152
4,5c69ef7f8ef352d4d8365d7d906b0f,152
5,ff646ed5b10390b772e3c1a5350dbd,152
6,1c70df1569162aff577b395ad75338,152
7,1bc9d58599c267d6c46bc621cdc622,172
8,acff7cd55830193e52563b0bba4a20,172
9,b195f4d676ea915a991b3d8e3cb08d,172
10,d3a40b63b76618a90cb5d26085c33a,137
11,091d40bd7c07137ea4425f2bf12581,137
12,f724597ad2439a6a409fa0aab1c9ab,137
13,e8c6b5fe1560a2eff711d0043b5b17,137
14,f02a554acbfc1b8e4e424428908678,137
15,9e2a428605501d4d538d962e7fe730,137
16,231eb1fcd57cd0a2a1bac17813ac70,137
17,7d444b07bc28a29a512a8d2dac37ad,137
18,80943c5cbce10f8c9c81e06717f680,131
19,08b3f019dcda0e1705c5e8220b6905,131
20,8621190f67d5ffc0cf5b5ce1f2dc13,131
21,4b06e7ed06d5e68e175d46cb4900dc,131
22,d9bf0572bbb15c4e293cd45bb09afb,131
23,d52a3177fcc8747be6ba4b34df0c05,131
24,068d8ffd16a5a8b5bcf7a46d103631,131
25,513df308e8ceaf1f694e8e3bc216af,131
26,ec30c448f9d9f33d42f83cad76a84c,164
27,dca43ae7570e5dda06d60056a2f041,164
28,0011ba815d1334d32f3605b3abf1d9,164
29,dafb483619c7fe584cf0840e48bd71,174
30,174a6b2f0a6b01c03115d3749683f8,174
31,20349304839b5ff3e364657e0b9cc9,43
32,b01a31cc3d06f7378b3750a5aee80b,43
33,0d4cf329da4bd50e70e96d706fdf53,43
34,95f1a06cff45c8ec5e789486a3a912,43
35,a44bf93d8ed11b1830c6e0ab6d3f72,43
36,40d3cc1ea6b1180aaaf1972dc10b22,43
37,cf0c4a4b278d9e523edeac8fab9aec,43
38,10a2246cb3e64c34feb9446feb5298,43
39,74a0571d9531e1400ef8a1f974f551,43
40,a1c58e999d871089064008c532d193,43
41,6565ff00e038d82776f7bb53d830a4,43
42,b801a2e342b7d96e04d4688e9b7bc5,43
43,952f196d14f2201eb6217f111156fe,43
44,79c8befbe9499fa75680c0bf58d455,152
45,68ecc2ee1a94b6f60a641071567c14,152
46,3b97ba93ed1def7859c926b6a93ae4,152
47,f0259be17e01920bd78cb41ca425d6,177
48,5712b2d415b0acf58ccf957866b33e,51
49,9800ecf56c546054b4c89e442d3882,51
50,096f60cae7d134eecd45573d6e237a,51
51,0adb9b03b34d244e75a3aff8644359,51
52,1e539750866800e6e3480f32a800c5,51
53,73c366ebc17a3aae33c0c7b05dd2e1,51
54,96d8ba0481afdfc598c4a2684b48c1,51
55,df33852f00c8328bf3b32bc3327266,51
56,f0d274cab08031e1d16e363b0c68cc,51
57,8695087d4abc4b6f613629351d4703,51
58,b97a9168efea8ccb2e4d59417333bc,51
59,51fe15779d8afffbed008db2fb1157,51
60,f628fe46674ff38a71fdeb2830b452,158
61,95315d21b6ab284db3ef1681ac51bc,78
62,97ec553790332e4ff6c76beaaccfdd,78
63,f8fa2bedac94835748201a7d4bb270,78
64,920bf4a13b68120d282d89d9b1095e,78
65,2c57ddd7d357eb3243e41451c39f16,78
66,3d9d8fc1608288540e28906d19de2b,78
67,047177ef761cfb287026d2c92b7552,78
68,9fa0f99c90c5e07351fdf9ae57bebf,78
69,f3fc4e5c995abbe4971555f5ca47b9,78
70,4e6aca620c582e38bdf5f800338883,68
71,4c9759ee35f686bfa3da4faf9bcf49,68
72,443cd380387febc2e9e32d368b621f,68
73,a68a0ccad02de6186c78ca040ac537,68
74,c427ab2b87ebe5c79b6644a24b8803,68
75,f4af9294abc735cc6fa7bb016f02b1,68
76,fcf6757712fd6ea581bc44903704e7,68
77,dd79ce9ae46df16cc363264f8991f4,68
78,5597d3ec0a049798ac319f78cf8f8a,68
